Penalty Recommendation,2014,2015,2016,2017,2018,5 Year Total
Charges,158,126,42,29,48,403
Command Discipline,83,213,148,124,91,659
Formalized Training,7,164,128,59,35,393
Instructions,63,13,24,46,52,198
No Recommendation,2,3,,,,5
Total,313,519,342,258,226,1658
Charges Rate,50%,24%,12%,11%,21%,24%
Recommendation,2014,2015,2016,2017,2018,5 Year Total
Charges,254,190,59,38,73,614
Command Discipline,112,336,222,179,128,977
Formalized Training,15,230,203,78,55,581
Instructions,83,15,29,60,70,257
No Recommendation,4,3,,,,7
Total,468,774,513,355,326,2436
Charges Rate,54%,25%,12%,11%,22%,25%
